Contrast name:,Group (H),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,1,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.31189,0.134412,2.320409,6,0.029708,0.05215,,
2,1627,162,1,0.21824,0.106752,2.044369,6,0.043458,0.05215,,
3,644,64,1,0.699159,0.176395,3.963593,6,0.003711,0.011132,,
4,743,74,1,0.352833,0.161049,2.190843,6,0.035496,0.05215,,
5,462,46,1,0.21707,0.205453,1.056541,6,0.165697,0.165697,,
6,370,37,1,0.529549,0.130516,4.057357,6,0.003335,0.011132,,
