Contrast name:,Group (M),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,0,1,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.289179,0.113287,2.552629,6,0.021668,0.036364,,
2,1627,162,1,0.223929,0.09711,2.305919,6,0.030303,0.036364,,
3,644,64,1,0.649931,0.182285,3.565468,6,0.005924,0.017773,,
4,743,74,1,0.415597,0.17646,2.355186,6,0.028328,0.036364,,
5,462,46,1,0.210679,0.210276,1.001916,6,0.177532,0.177532,,
6,370,37,1,0.57316,0.134929,4.247859,6,0.002696,0.016179,,
