Contrast name:,Group (L),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,0,0,1,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.36267,0.126165,2.874578,6,0.014129,0.028257,,
2,1627,162,1,0.271215,0.124054,2.186269,6,0.035721,0.042865,,
3,644,64,1,0.767486,0.208967,3.672758,6,0.00521,0.01563,,
4,743,74,1,0.467505,0.200567,2.330923,6,0.029283,0.042865,,
5,462,46,1,0.268239,0.22562,1.1889,6,0.139697,0.139697,,
6,370,37,1,0.615716,0.118851,5.180571,6,0.001027,0.00616,,
