Contrast name:,Group (N),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.271837,0.12058,2.254407,6,0.032523,0.061635,,,,,,,,,,,
2,1627,162,1,0.217963,0.104546,2.084859,6,0.04109,0.061635,,,,,,,,,,,
3,644,64,1,0.682507,0.189984,3.592444,6,0.005735,0.020422,,,,,,,,,,,
4,743,74,1,0.329322,0.188776,1.74451,6,0.065843,0.079012,,,,,,,,,,,
5,462,46,1,0.185433,0.224482,0.826046,6,0.22019,0.22019,,,,,,,,,,,
6,370,37,1,0.489168,0.141742,3.451114,6,0.006807,0.020422,,,,,,,,,,,
