Contrast name:,Group (Adj),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.379025,0.131863,2.874391,6,0.014132,0.021198,,,,,,,,,,,
2,1627,162,1,0.282133,0.132167,2.134666,6,0.038357,0.046028,,,,,,,,,,,
3,644,64,1,0.764518,0.212929,3.590485,6,0.005749,0.017246,,,,,,,,,,,
4,743,74,1,0.558995,0.179837,3.108349,6,0.010446,0.020893,,,,,,,,,,,
5,462,46,1,0.195077,0.273108,0.714286,6,0.25094,0.25094,,,,,,,,,,,
6,370,37,1,0.799638,0.109387,7.310202,6,0.000167,0.001003,,,,,,,,,,,
