Contrast name:,Group (M),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,0,1,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.637311,0.040079,15.901495,6,0.000002,0.000012,,
2,1627,162,1,0.552371,0.10032,5.506078,6,0.000753,0.002259,,
3,644,64,1,0.617211,0.131465,4.694888,6,0.001672,0.003344,,
4,743,74,1,0.625017,0.171728,3.639584,6,0.00542,0.006504,,
5,462,46,1,0.823849,0.267367,3.08134,6,0.010813,0.010813,,
6,370,37,1,0.674449,0.174729,3.859977,6,0.004181,0.006272,,
