Contrast name:,Group (L),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,0,0,1,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.748418,0.069964,10.697186,6,0.00002,0.000118,,
2,1627,162,1,0.676165,0.133322,5.071685,6,0.001142,0.003426,,
3,644,64,1,0.583357,0.146209,3.98989,6,0.003601,0.007201,,
4,743,74,1,0.767289,0.223414,3.434376,6,0.006948,0.008338,,
5,462,46,1,0.882216,0.275822,3.198502,6,0.009318,0.009318,,
6,370,37,1,0.858917,0.237342,3.618893,6,0.005556,0.008334,,
