Contrast name:,Group (V),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.454254,0.164083,2.768443,6,0.016245,0.025958,,,,,,,,,,,
2,1627,162,1,0.25422,0.126541,2.008993,6,0.045641,0.054769,,,,,,,,,,,
3,644,64,1,0.771843,0.18383,4.198673,6,0.002847,0.017083,,,,,,,,,,,
4,743,74,1,0.48819,0.179435,2.720709,6,0.017305,0.025958,,,,,,,,,,,
5,462,46,1,0.297674,0.270696,1.099663,6,0.156816,0.156816,,,,,,,,,,,
6,370,37,1,0.610092,0.172927,3.528028,6,0.006199,0.018596,,,,,,,,,,,
