Contrast name:,Group (H),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,1,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.442055,0.07746,5.70687,6,0.000626,0.001879,,
2,1627,162,1,0.288168,0.099435,2.898055,6,0.013702,0.016442,,
3,644,64,1,0.722225,0.231732,3.116645,6,0.010337,0.015505,,
4,743,74,1,0.833561,0.302754,2.753264,6,0.016574,0.016574,,
5,462,46,1,0.865136,0.229115,3.775991,6,0.004612,0.009224,,
6,370,37,1,0.718025,0.120105,5.978317,6,0.000492,0.001879,,
