Contrast name:,Group (L),,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11]
,0,0,1,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,
,1,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,
Results,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,
1,2948,294,1,0.422249,0.063344,6.665976,6,0.000276,0.001382,,
2,1627,162,1,0.286006,0.078764,3.631175,6,0.005475,0.01095,,
3,644,64,1,0.589754,0.228667,2.579091,6,0.02091,0.02091,,
4,743,74,1,0.822929,0.290849,2.829406,6,0.014991,0.017989,,
5,462,46,1,0.831387,0.258427,3.217109,6,0.009102,0.013652,,
6,370,37,1,0.708598,0.117068,6.052884,6,0.000461,0.001382,,
