Contrast name:,Group (N),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.365575,0.068962,5.301133,6,0.000914,0.002742,,,,,,,,,,,
2,1627,162,1,0.254973,0.086114,2.960883,6,0.012627,0.015152,,,,,,,,,,,
3,644,64,1,0.665245,0.215196,3.091345,6,0.010676,0.015152,,,,,,,,,,,
4,743,74,1,0.754515,0.306985,2.457826,6,0.024632,0.024632,,,,,,,,,,,
5,462,46,1,0.743853,0.248596,2.992215,6,0.012125,0.015152,,,,,,,,,,,
6,370,37,1,0.637868,0.107393,5.939553,6,0.000509,0.002742,,,,,,,,,,,
