Contrast name:,Group (Adj),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.554525,0.0605,9.16575,6,0.000047,0.000285,,,,,,,,,,,
2,1627,162,1,0.402848,0.102729,3.921462,6,0.003894,0.005842,,,,,,,,,,,
3,644,64,1,0.690563,0.284753,2.425134,6,0.025751,0.025751,,,,,,,,,,,
4,743,74,1,1.038995,0.320973,3.237013,6,0.008877,0.010652,,,,,,,,,,,
5,462,46,1,1.028381,0.248732,4.134501,6,0.003058,0.005842,,,,,,,,,,,
6,370,37,1,0.915779,0.13637,6.715383,6,0.000265,0.000795,,,,,,,,,,,
