Contrast name:,Group (Adv),,,,,,,,,,,,,,,,,,,
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],c[1;20]
,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between-subjects contrast matrix:,c[1;1],,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
Overlap threshold:,0,,,,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,,,,,
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr,,,,,,,,,,,
1,2948,294,1,0.671956,0.133136,5.047125,6,0.00117,0.005986,,,,,,,,,,,
2,1627,162,1,0.344734,0.15205,2.267238,6,0.031955,0.038346,,,,,,,,,,,
3,644,64,1,0.496804,0.294472,1.687099,6,0.071278,0.071278,,,,,,,,,,,
4,743,74,1,1.188857,0.436055,2.72639,6,0.017175,0.03435,,,,,,,,,,,
5,462,46,1,1.156235,0.488287,2.36794,6,0.027839,0.038346,,,,,,,,,,,
6,370,37,1,0.895985,0.197949,4.526352,6,0.001995,0.005986,,,,,,,,,,,
