a. wordSent,b1. sent1,b2. sent2,b3. sent3,b4. sent4,b5. sent5,b6. sent6,syntcat1,syntcat2,syntcat3,syntcat4,syntcat5,syntcat6,d. wordCloud,e1. cloud1,e2. cloud2,e3. cloud3,e4. cloud4,e5. cloud5,e6. cloud6,f. wordImg
Ability,His ability outshone his genius. ,Her ability and knack for it got her here.,His ability and assertiveness are attractive.,He has the ability to cultivate creativity.  ,Forethought is an important ability.  ,His unwavering ability is unmatched. ,N,N,N,N,N,N,'ability',ability,strength,talent,passion,confidence,imagination,Ability
Accomplished,The accomplished writer loves to read. ,The accomplished producer is well respected.,The playwright wanted to be accomplished.,The accomplished choreographer waits alone.,The thinker became accomplished later on.,The accomplished publicist has many clients. ,Adj,Adj,Adj,Adj,Adj,Adj,'accomplished',accomplished,writer,scientist,businessman,architect,cameraman,Accomplished
Angry,He was both angry and frightened. ,He panicked at how angry his boss was. ,She's angry because I offended her. ,I am displeased with how angry he was. ,"Dissatisfied and angry, he began to sulk. ","Flabbergasted at her results, she got angry.  ",Adj,Adj,Adj,Adj,Adj,Adj,'angry',angry,surprised,excited,confused,ashamed,frightened,Angry
Apartment,They rent out the apartment in their home.,This apartment floor is under renovation.,This apartment doesn't have a big kitchen.,Parts of the apartment are ladder accessible.,The long hallway in the apartment is skinny.,The apartment has cute little nooks. ,N,N,N,N,N,N,'apartment',apartment,room,door,window,floor,bathroom,Apartment
Applause,The cheering drowned out the applause.,The ruckus of the applause hurt her ears.,The commotion of applause is infectious. ,Her applause was inhibited. ,He caught an earful of applause as he left.,The rowdy crowd burst into applause. ,N,N,N,N,N,N,'applause',applause,crowd,audience,laughter,cheering,riot,Applause
Argument,The new evidence helped his argument.,I will confirm the more valid argument. ,The first argument has a better explanation.,This argument has no conclusion.,The statement supports the other argument. ,There’s no truth to this argument. ,N,N,N,N,N,N,'argument',argument,truth,fact,evidence,proof,explanation,Argument
Argumentatively,He unadvisedly spoke argumentatively.,The hardhearted woman speaks argumentatively.  ,She pitilessly and argumentatively tore him apart.  ,The thought is dirtily and argumentatively constructed. ,They spoke precociously and argumentatively.,Her speech began provocatively and argumentatively. ,Adv,Adv,Adv,Adv,Adv,Adv,'argumentatively',argumentatively,dishonorably,humiliatingly,opportunely,superfluously,auspiciously,Argumentatively
Art,The poetry workshop was a work of art.,The school has a strong tradition of art. ,The art exhibition left many breathless.,The contemporary art left much to be desired. ,Medieval art is not up her alley.,The irony of the piece is pure art.,N,N,Adj,N,N,N,'art',art,artist,style,painting,sculpture,cinema,Art
Attitude,She has a negative attitude.,His selfish attitude won't get him far. ,"Generally, her attitude is condescending. ",He will work on his domineering attitude.,His humorless attitude is stereotypical. ,He has a nonchalant attitude about it.,N,N,N,N,N,N,'attitude',attitude,rude,selfish,stubborn,hostile,heartless,Attitude
Bag,She wants to pack a bag for the day trip. ,He put his wallet in her bag.,The leather bag fell from the shelf.,He had a bag and a laptop to put in it.,The trusty satchel was her favorite bag. ,The umbrella was too big for her bag.,N,N,N,N,N,N,'bag',bag,carry,pack,pocket,purse,sack,Bag
Ball,He hit the ball out of the field.,She can’t pass the ball for the life of her.,She could dunk the ball like a pro.,Getting a puck can be easier than a ball.,The ball bounced off the backboard. ,He gave the ball a quick jab. ,N,N,N,N,N,N,'ball',ball,hit,throw,pass,kick,bat,Ball
Bar,The bar looked like an ancient tavern. ,Cowboys go to saloons instead of bars.,He learned quickly that bars don't cater. ,That bar was their new favorite venue.,The popular nightclub has added a bar. ,The bar had an urban feel to it. ,N,N,N,N,N,N,'bar',bar,bar,restaurant,diner,cafe,nightclub,Bar
Bear,"Watch out, that bear will chase you.",The woodpecker was not afraid of the bear.,The caribou and the bear smell one another.,The bear found its next prey in the hare.,The swan was not bothered by the bear.,The bear ran from the rattlesnake. ,N,N,N,N,N,N,'bear',bear,duck,wolf,raccoon,deer,squirrel,Bear
Beat,The beat of the music was soulful.,The song had a catchy beat.,She tapped her foot to the rhythmic beat.,He thought that the beat had a good vibe.,People thrashed their heads to the beat. ,She can strum the beat on her guitar. ,N,N,N,N,N,N,'beat',beat,hop,mix,tune,rap,rhythm,Beat
Bed,She enjoyed sleeping in her own bed.,The cot replaced the bed for the night.,Napping in bed can be good for you.,The toddler crawled onto the bed.,The bed cushions sagged quickly.,He took the blanket off of the bed.,N,N,N,N,Adj,N,'bed',bed,sleep,seat,chair,couch,blanket,Bed
